spine_num,title,director,release_year
122,Salesman,David Maysles & Albert Maysles & Charlotte Zwerin,1968
186,Stolen Kisses,François Truffaut,1968
252,Faces,John Cassavetes,1968
313,Kill!,Kihachi Okamoto,1968
360,Symbiopsychotaxiplasm: Two Takes,William Greaves,1968
391,If....,Lindsay Anderson,1968
534,L'enfance nue,Maurice Pialat,1968
544,Head,Bob Rafelson,1968
584,Kuroneko,Kaneto Shindo,1968
630,Rosemary's Baby,Roman Polanski,1968
798,Death by Hanging,Nagisa Oshima,1968
831,The Immortal Story,Orson Welles,1968
909,Night of the Living Dead,George A. Romero,1968
943,Memories of Underdevelopment,Tomás Gutiérrez Alea,1968
961,Shame,Ingmar Bergman,1968
1013,Teorema,Pier Paolo Pasolini,1968
1045,Lucía,Humberto Solás,1968
104,Double Suicide,Masahiro Shinoda,1969
345,My Night at Maud's,Éric Rohmer,1969
385,Army of Shadows,Jean-Pierre Melville,1969
402,The Milky Way,Luis Buñuel,1969
491,Z,Costa Gavras,1969
494,Downhill Racer,Michael Ritchie,1969
506,Dillinger Is Dead,Marco Ferreri,1969
545,Easy Rider,Dennis Hopper,1969
561,Kes,Ken Loach,1969
658,Medium Cool,Haskell Wexler,1969
747,Fellini Satyricon,Federico Fellini,1969
916,Women in Love,Ken Russell,1969
918,The Color of Pomegranates,Sergei Parajanov,1969
925,Midnight Cowboy,John Schlesinger,1969
1023,The Cremator,Juraj Herz,1969
99,Gimme Shelter,Albert Maysles & David Maysles & Charlotte Zwerin,1970
187,Bed and Board,François Truffaut,1970
200,The Honeymoon Killers,Leonard Kastle,1970
218,Le cercle rouge,Jean-Pierre Melville,1970
338,Equinox,Jack Woods,1970
347,Claire's Knee,Éric Rohmer,1970
465,Dodes'ka-den,Akira Kurosawa,1970
546,Five Easy Pieces,Bob Rafelson,1970
682,Investigation of a Citizen Above Suspicion,Elio Petri,1970
718,Donkey Skin,Jacques Demy,1970
759,The Confession,Costa Gavras,1970
761,Valerie and Her Week of Wonders,Jaromil Jireš,1970
836,Beyond the Valley of the Dolls,Russ Meyer,1970
863,Multiple Maniacs,John Waters,1970
914,Baal,Volker Schlöndorff,1970
965,Wanda,Barbara Loden,1970
1029,Husbands,John Cassavetes,1970
1049,Soleil Ô,Med Hondo,1970
10,Walkabout,Nicolas Roeg,1971
182,Straw Dogs,Sam Peckinpah,1971
389,W.R.: Mysteries of the Organism,Dušan Makavejev,1971
414,Two-Lane Blacktop,Monte Hellman,1971
438,Mon oncle Antoine,Claude Jutra,1971
439,Trafic,Jacques Tati,1971
547,Drive@ He Said,Jack Nicholson,1971
548,A Safe Place,Henry Jaglom,1971
549,The Last Picture Show,Peter Bogdanovich,1971
608,Harold and Maude,Hal Ashby,1971
629,Sunday Bloody Sunday,John Schlesinger,1971
632,The Decameron,Pier Paolo Pasolini,1971
726,Macbeth,Roman Polanski,1971
758,The Merchant of Four Seasons,Rainer Werner Fassbinder,1971
796,The Emigrants,Jan Troell,1971
825,A Touch of Zen,King Hu,1971
827,McCabe & Mrs. Miller,Robert Altman,1971
962,Death in Venice,Luchino Visconti,1971
987,Klute,Alan J. Pakula,1971
101,Cries and Whispers,Ingmar Bergman,1972
102,The Discreet Charm of the Bourgeoisie,Luis Buñuel,1972
132,The Ruling Class,Peter Medak,1972
164,Solaris,Andrei Tarkovsky,1972
275,Tout va bien,Jean-Luc Godard & Jean-Pierre Gorin,1972
328,Murmur of the Heart,Louis Malle,1972
348,Love in the Afternoon,Éric Rohmer,1972
550,The King of Marvin Gardens,Bob Rafelson,1972
633,The Canterbury Tales,Pier Paolo Pasolini,1972
740,The Bitter Tears of Petra von Kant,Rainer Werner Fassbinder,1972
760,State of Siege,Costa Gavras,1972
797,The New Land,Jan Troell,1972
848,Roma,Federico Fellini,1972
946,Eight Hours Don't Make a Day,Rainer Werner Fassbinder,1972
1050,Downpour,Bahram Bayzai,1972
27,Flesh for Frankenstein,Paul Morrissey,1973
83,The Harder They Come,Perry Henzell,1973
89,Sisters,Brian De Palma,1973
223,Maîtresse,Barbet Schroeder,1973
229,Scenes from a Marriage,Ingmar Bergman,1973
351,The Spirit of the Beehive,Víctor Erice,1973
475,The Friends of Eddie Coyle,Peter Yates,1973
598,World On a Wire,Rainer Werner Fassbinder,1973
651,Badlands,Terrence Malick,1973
685,Touki Bouki,Djibril Diop Mambéty,1973
687,A River Called Titas,Ritwik Ghatak,1973
745,Don't Look Now,Nicolas Roeg,1973
769,Day for Night,François Truffaut,1973
791,Lady Snowblood,Toshiya Fujita,1973
820,Fantastic Planet,René Laloux,1973
4,Amarcord,Federico Fellini,1974
28,Blood for Dracula,Paul Morrissey,1974
59,The Night Porter,Liliana Cavani,1974
153,General Idi Amin Dada: A Self Portrait,Barbet Schroeder,1974
156,Hearts and Minds,Peter Davis,1974
198,Ali: Fear Eats the Soul,Rainer Werner Fassbinder,1974
253,A Woman Under the Influence,John Cassavetes,1974
290,The Phantom of Liberty,Luis Buñuel,1974
329,Lacombe@ Lucien,Louis Malle,1974
390,Sweet Movie,Dušan Makavejev,1974
634,Arabian Nights,Pier Paolo Pasolini,1974
731,Parade,Jacques Tati,1974
782,Lady Snowblood: Love Song of Vengeance,Toshiya Fujita,1974
805,A Poem Is a Naked Person,Les Blank,1974
814,Alice in the Cities,Wim Wenders,1974
929,Female Trouble,John Waters,1974
17,Salò@ or The 120 Days of Sodom,Pier Paolo Pasolini,1975
29,Picnic at Hanging Rock ,Peter Weir,1975
71,The Magic Flute,Ingmar Bergman,1975
177,The Lost Honor of Katharina Blum,Margarethe von Trotta & Volker Schlöndorff,1975
288,F for Fake,Orson Welles,1975
382,Overlord,Stuart Cooper,1975
484,Jeanne Dielman@ 23 quai du Commerce@ 1080 Bruxelles,Chantal Akerman,1975
571,Black Moon,Louis Malle,1975
683,Nashville,Robert Altman,1975
815,Wrong Move,Wim Wenders,1975
851,Fox and His Friends,Rainer Werner Fassbinder,1975
897,Barry Lyndon,Stanley Kubrick,1975
926,Manila in the Claws of Light,Lino Brocka,1975
947,Shampoo,Hal Ashby,1975
123,Grey Gardens,David Maysles & Albert Maysles & Muffie Meyer & Susan Froemke & Ellen Hovde,1976
192,Coup de grâce,Volker Schlöndorff,1976
254,The Killing of a Chinese Bookie,John Cassavetes,1976
304,The Man Who Fell to Earth,Nicolas Roeg,1976
334,Harlan County@ USA,Barbara Kopple,1976
403,Cría cuervos ...,Carlos Saura,1976
466,In the Realm of the Senses,Nagisa Oshima,1976
816,Kings of the Road,Wim Wenders,1976
862,Canoa: A Shameful Memory,Felipe Cazals,1976
874,Insiang,Lino Brocka,1976
957,Mikey and Nicky,Elaine May,1976
142,The Last Wave,Peter Weir,1977
143,That Obscure Object of Desire,Luis Buñuel,1977
230,3 Women,Robert Altman,1977
255,Opening Night,John Cassavetes,1977
539,House,Nobuhiko Obayashi,1977
609,¡Alambrista!,Robert M. Young,1977
725,Eraserhead,David Lynch,1977
778,A Special Day,Ettore Scola,1977
793,The American Friend,Wim Wenders,1977
903,Jabberwocky,Terry Gilliam,1977
978,One Sings@ the Other Doesn't,Agnès Varda,1977
60,Autumn Sonata,Ingmar Bergman,1978
191,Jubilee,Derek Jarman,1978
204,The Marriage of Maria Braun,Rainer Werner Fassbinder,1978
340,Koko: A Talking Gorilla,Barbet Schroeder,1978
409,Days of Heaven,Terrence Malick,1978
467,Empire of Passion,Nagisa Oshima,1978
671,La Cage aux Folles,Edouard Molinaro,1978
748,Watership Down,Martin Rosen,1978
751,Gates of Heaven,Errol Morris,1978
854,The Tree of Wooden Clogs,Ermanno Olmi,1978
967,I Wanna Hold Your Hand,Robert Zemeckis,1978
1032,An Unmarried Woman,Paul Mazursky,1978
61,Monty Python's Life of Brian,Terry Jones,1979
188,Love on the Run,François Truffaut,1979
234,The Tin Drum,Volker Schlöndorff,1979
384,Vengeance Is Mine,Shohei Imamura,1979
470,Wise Blood,John Huston,1979
624,Quadrophenia,Franc Roddam,1979
697,Tess,Roman Polanski,1979
724,All That Jazz,Bob Fosse,1979
757,The Rose,Mark Rydell,1979
765,The Black Stallion,Carroll Ballard,1979
777,The Brood,David Cronenberg,1979
823,The In-Laws,Arthur Hiller,1979
864,Being There,Hal Ashby,1979
888,Stalker,Andrei Tarkovsky,1979
973,My Brilliant Career,Gillian Armstrong,1979
1039,Town Bloody Hall,Chris Hegedus & D. A. Pennebaker,1979
1043,Christ Stopped at Eboli,Francesco Rosi,1979
26,The Long Good Friday,John Mackenzie,1980
163,Hopscotch,Ronald Neame,1980
267,Kagemusha,Akira Kurosawa,1980
303,Bad Timing,Nicolas Roeg,1980
411,Berlin Alexanderplatz,Rainer Werner Fassbinder,1980
462,The Last Metro,François Truffaut,1980
636,Heaven's Gate,Michael Cimino,1980
744,Every Man for Himself,Jean-Luc Godard,1980
770,Dressed to Kill,Brian De Palma,1980
773,Breaker Morant,Bruce Beresford,1980
1051,The Elephant Man,David Lynch,1980
37,Time Bandits,Terry Gilliam,1981
106,Coup de torchon,Bertrand Tavernier,1981
206,Lola,Rainer Werner Fassbinder,1981
479,My Dinner with André,Louis Malle,1981
562,Blow Out,Brian De Palma,1981
689,Trances,Ahmed El Maânouni,1981
691,Thief,Michael Mann,1981
712,Scanners,David Cronenberg,1981
752,Vernon@ Florida,Errol Morris,1981
768,The French Lieutenant's Woman,Karel Reisz,1981
772,Blind Chance,Krzysztof Kieślowski,1981
995,Polyester,John Waters,1981
1047,Pixote,Héctor Babenco,1981
205,Veronika Voss,Rainer Werner Fassbinder,1982
263,Fanny and Alexander,Ingmar Bergman,1982
264,The Making of Fanny and Alexander,Ingmar Bergman,1982
287,Burden of Dreams,Les Blank,1982
449,Missing,Costa Gavras,1982
455,White Dog,Samuel Fuller,1982
585,Identification of a Woman,Michelangelo Antonioni,1982
625,Eating Raoul,Paul Bartel,1982
719,Une chambre en ville,Jacques Demy,1982
738,Tootsie,Sydney Pollack,1982
940,The Ballad of Gregorio Cortez,Robert M. Young,1982
941,Smithereens,Susan Seidelman,1982
248,Videodrome,David Cronenberg,1983
337,À nos amours,Maurice Pialat,1983
458,El Norte,Gregory Nava,1983
464,Danton,Andrzej Wajda,1983
535,Merry Christmas@ Mr. Lawrence,Nagisa Oshima,1983
567,The Makioka Sisters,Kon Ichikawa,1983
640,Koyaanisqatsi,Godfrey Reggio,1983
720,The Big Chill,Lawrence Kasdan,1983
790,Burroughs: The Movie,Howard Brookner,1983
869,Rumble Fish,Francis Ford Coppola,1983
886,L'argent,Robert Bresson,1983
927,El Sur,Víctor Erice,1983
994,Local Hero,Bill Forsyth,1983
12,This Is Spinal Tap,Rob Reiner,1984
50,And the Ship Sails On,Federico Fellini,1984
80,The Element of Crime,Lars von Trier,1984
257,Secret Honor,Robert Altman,1984
400,Stranger Than Paradise,Jim Jarmusch,1984
410,Under the Volcano,John Huston,1984
425,Antonio Gaudi,Hiroshi Teshigahara,1984
469,The Hit,Stephen Frears,1984
501,Paris@ Texas,Wim Wenders,1984
557,The Times of Harvey Milk,Robert Epstein,1984
654,Repo Man,Alex Cox,1984
721,Love Streams,John Cassavetes,1984
834,Blood Simple,Joel and Ethan Coen,1984
890,Meantime,Mike Leigh,1984
984,1984,Michael Radford,1984
51,Brazil,Terry Gilliam,1985
74,Vagabond,Agnès Varda,1985
178,My Life as a Dog,Lasse Hallström,1985
316,Ran,Akira Kurosawa,1985
407,Mala Noche,Gus Van Sant,1985
432,Mishima: A Life in Four Chapters,Paul Schrader,1985
532,Louie Bluie,Terry Zwigoff,1985
566,Insignificance,Nicolas Roeg,1985
663,Shoah,Claude Lanzmann,1985
767,My Beautiful Laundrette,Stephen Frears,1985
775,A Room with a View,James Ivory,1985
868,Tampopo,Juzo Itami,1985
879,Taipei Story,Edward Yang,1985
887,Lost in America,Albert Brooks,1985
902,Desert Hearts,Donna Deitch,1985
905,The Breakfast Club,John Hughes,1985
971,Police Story,Jackie Chan,1985
1035,Come and See,Elem Klimov,1985
20,Sid & Nancy,Alex Cox,1986
107,Mona Lisa,Neil Jordan,1986
119,Withnail and I,Bruce Robinson,1986
166,Down by Law,Jim Jarmusch,1986
169,Jimi Plays Monterey & Shake! Otis at Monterey,D. A. Pennebaker,1986
563,Something Wild,Jonathan Demme,1986
951,True Stories,David Byrne,1986
977,Blue Velvet,David Lynch,1986
1002,Betty Blue,Jean-Jacques Beineix,1986
23,RoboCop,Paul Verhoeven,1987
330,Au revoir les enfants,Louis Malle,1987
362,Border Radio,Allison Anders & Dean Lent & Kurt Voss,1987
399,House of Games,David Mamet,1987
422,The Last Emperor,Bernardo Bertolucci,1987
423,Walker,Alex Cox,1987
490,Wings of Desire,Wim Wenders,1987
552,Broadcast News,James L. Brooks,1987
665,Babette's Feast,Gabriel Axel,1987
948,The Princess Bride,Rob Reiner,1987
990,Where Is the Friend's House?,Abbas Kiarostami,1987
999,Matewan,John Sayles,1987
21,Dead Ringers,David Cronenberg,1988
55,The Unbearable Lightness of Being,Philip Kaufman,1988
70,The Last Temptation of Christ,Martin Scorsese,1988
120,How to Get Ahead in Advertising,Bruce Robinson,1988
133,The Vanishing,George Sluizer,1988
258,Tanner '88,Robert Altman,1988
641,Powaqqatsi,Godfrey Reggio,1988
753,The Thin Blue Line,Errol Morris,1988
837,Dekalog,Krzysztof Kieślowski,1988
855,Women on the Verge of a Nervous Breakdown,Pedro Almodóvar,1988
936,Bull Durham,Ron Shelton,1988
972,Police Story 2,Jackie Chan,1988
8,The Killer,John Woo,1989
54,For All Mankind,Al Reinert,1989
97,Do the Right Thing,Spike Lee,1989
356,Sweetie,Jane Campion,1989
521,Mystery Train,Jim Jarmusch,1989
876,Revenge,Ermek Shinarbaev,1989
938,Sex@ Lies@ and Videotape,Steven Soderbergh,1989
953,A Dry White Season,Euzhan Palcy,1989
301,An Angel at My Table,Jane Campion,1990
326,Metropolitan,Whit Stillman,1990
327,3 Films by Louis Malle,Louis Malle,1990
519,Close-Up,Abbas Kiarostami,1990
659,Life Is Sweet,Mike Leigh,1990
722,Tie Me Up! Tie Me Down!,Pedro Almodóvar,1990
774,Mister Johnson,Bruce Beresford,1990
842,Akira Kurosawa's Dreams,Akira Kurosawa,1990
963,To Sleep with Anger,Charles Burnett,1990
1018,Paris Is Burning,Jennie Livingston,1990
1041,The Comfort of Strangers,Paul Schrader,1990
13,The Silence of the Lambs,Jonathan Demme,1991
220,Naked Lunch,David Cronenberg,1991
247,Slacker,Richard Linklater,1991
277,My Own Private Idaho,Gus Van Sant,1991
353,Sólo con tu pareja,Alfonso Cuarón,1991
359,The Double Life of Véronique,Krzysztof Kieślowski,1991
401,Night on Earth,Jim Jarmusch,1991
454,Europa,Lars von Trier,1991
486,Homicide,David Mamet,1991
699,A Brief History of Time,Errol Morris,1991
764,The Fisher King,Terry Gilliam,1991
804,A Brighter Summer Day,Edward Yang,1991
985,Europa Europa,Agnieszka Holland,1991
988,The Inland Sea,Lucille Carra,1991
1007,Until the End of the World,Wim Wenders,1991
1022,The Prince of Tides,Barbra Streisand,1991
9,Hard Boiled,John Woo,1992
42,Fishing with John,John Lurie,1992
165,Man Bites Dog,Rémy Belvaux & André Bonzel & Benoît Poelvoorde,1992
488,Howards End,James Ivory,1992
693,La vie de bohème,Aki Kaurismäki,1992
694,The Long Day Closes,Terence Davies,1992
812,The Player,Robert Altman,1992
898,Twin Peaks: Fire Walk with Me,David Lynch,1992
991,And Life Goes On,Abbas Kiarostami,1992
265,Short Cuts,Robert Altman,1993
307,Naked,Mike Leigh,1993
336,Dazed and Confused,Richard Linklater,1993
551,Cronos,Guillermo del Toro,1993
588,Three Colors: Blue,Krzysztof Kieślowski,1993
602,The War Room,D. A. Pennebaker & Chris Hegedus,1993
698,King of the Hill,Steven Soderbergh,1993
913,The Age of Innocence,Martin Scorsese,1993
289,Hoop Dreams,Steve James,1994
354,Clean@ Shaven,Lodge Kerrigan,1994
436,Before the Rain,Milčo Mančevski,1994
453,Chungking Express,Wong Kar-wai,1994
589,Three Colors: White,Krzysztof Kieślowski,1994
590,Three Colors: Red,Krzysztof Kieślowski,1994
599,Vanya on 42nd Street,Louis Malle,1994
616,Shallow Grave,Danny Boyle,1994
807,Barcelona,Whit Stillman,1994
944,Cold Water,Olivier Assayas,1994
992,Through the Olive Trees,Abbas Kiarostami,1994
128,Carl Th. Dreyer—My Metier,Torben Skjodt Jensen,1995
349,Kicking and Screaming,Noah Baumbach,1995
381,La haine,Mathieu Kassovitz,1995
533,Crumb,Terry Zwigoff,1995
739,Safe,Todd Haynes,1995
857,Before Sunrise,Richard Linklater,1995
919,Dead Man,Jim Jarmusch,1995
108,The Rock,Michael Bay,1996
199,Schizopolis,Steven Soderbergh,1996
450,Bottle Rocket,Wes Anderson,1996
620,La promesse,Jean-Pierre Dardenne & Luc Dardenne,1996
705,Breaking the Waves,Lars von Trier,1996
998,When We Were Kings,Leon Gast,1996
1001,The Daytrippers,Greg Mottola,1996
45,Taste of Cherry,Abbas Kiarostami,1997
47,Insomnia,Erik Skjoldbjærg,1997
75,Chasing Amy,Kevin Smith,1997
426,The Ice Storm,Ang Lee,1997
509,Ossos,Pedro Costa,1997
618,Gray's Anatomy,Steven Soderbergh,1997
627,The Game,David Fincher,1997
975,Funny Games,Michael Haneke,1997
980,La vie de Jésus,Bruno Dumont,1997
40,Armageddon,Michael Bay,1998
65,Rushmore,Wes Anderson,1998
175,Fear and Loathing in Las Vegas,Terry Gilliam,1998
485,The Last Days of Disco,Whit Stillman,1998
536,The Thin Red Line,Terrence Malick,1998
162,Ratcatcher,Lynne Ramsay,1999
514,Ride with the Devil,Ang Lee,1999
558,Topsy-Turvy,Mike Leigh,1999
611,Being John Malkovich,Spike Jonze,1999
621,Rosetta,Jean-Pierre Dardenne & Luc Dardenne,1999
638,Following,Christopher Nolan,1999
866,Buena Vista Social Club,Wim Wenders,1999
904,Election,Alexander Payne,1999
920,The Virgin Suicides,Sofia Coppola,1999
981,L'Humanité,Bruno Dumont,1999
1012,All About My Mother,Pedro Almodóvar,1999
1042,Beau Travail,Claire Denis,1999
147,In the Mood for Love,Wong Kar-wai,2000
151,Traffic,Steven Soderbergh,2000
152,George Washington,David Gordon Green,2000
256,A Constant Forge,Charles Kiselyak,2000
339,Yi Yi,Edward Yang,2000
510,In Vanda's Room,Pedro Costa,2000
780,Code Unknown,Michael Haneke,2000
875,Mysterious Object at Noon,Apichatpong Weerasethakul,2000
1019,Bamboozled,Spike Lee,2000
157,The Royal Tenenbaums,Wes Anderson,2001
259,Fat Girl,Catherine Breillat,2001
489,Monsoon Wedding,Mira Nair,2001
666,The Devil's Backbone,Guillermo del Toro,2001
723,Y tu mamá también,Alfonso Cuarón,2001
743,La Ciénaga,Lucrecia Martel,2001
779,Mulholland Dr.,David Lynch,2001
872,Ghost World,Terry Zwigoff,2001
894,The Piano Teacher,Michael Haneke,2001
982,Hedwig and the Angry Inch,John Cameron Mitchell,2001
642,Naqoyqatsi,Godfrey Reggio,2002
843,Punch-Drunk Love,Paul Thomas Anderson,2002
928,Bowling for Columbine,Michael Moore,2002
968,Japón,Carlos Reygadas,2002
300,The Life Aquatic with Steve Zissou,Wes Anderson,2004
858,Before Sunset,Richard Linklater,2004
826,The New World,Terrence Malick,2005
845,The Squid and the Whale,Noah Baumbach,2005
1026,Me and You and Everyone We Know,Miranda July,2005
361,The Beales of Grey Gardens,Albert Maysles & David Maysles,2006
440,Brand upon the Brain!,Guy Maddin,2006
477,Bergman Island,Marie Nyreröd,2006
511,Colossal Youth,Pedro Costa,2006
838,Pan's Labyrinth,Guillermo del Toro,2006
1008,Old Joy,Kelly Reichardt,2006
527,The Secret of the Grain,Abdellatif Kechiche,2007
540,The Darjeeling Limited,Wes Anderson,2007
576,Secret Sunshine,Lee Chang-dong,2007
741,My Winnipeg,Guy Maddin,2007
958,4 Months@ 3 Weeks and 2 Days,Cristian Mungiu,2007
476,The Curious Case of Benjamin Button,David Fincher,2008
492,A Christmas Tale,Arnaud Desplechin,2008
493,Gomorrah,Matteo Garrone,2008
496,Che,Steven Soderbergh,2008
502,Revanche,Götz Spielmann,2008
504,Hunger,Steve McQueen,2008
513,Summer Hours,Olivier Assayas,2008
520,Everlasting Moments,Jan Troell,2008
554,Still Walking,Hirokazu Kore-eda,2008
542,Antichrist,Lars von Trier,2009
553,Fish Tank,Andrea Arnold,2009
560,White Material,Claire Denis,2009
700,Fantastic Mr. Fox,Wes Anderson,2009
574,Life During Wartime,Todd Solondz,2010
582,Carlos,Olivier Assayas,2010
597,Tiny Furniture,Lena Dunham,2010
612,Certified Copy,Abbas Kiarostami,2010
617,And Everything Is Going Fine,Steven Soderbergh,2010
619,Le Havre,Aki Kaurismäki,2011
622,Weekend,Andrew Haigh,2011
628,The Forgiveness of Blood,Joshua Marston,2011
644,Pina,Wim Wenders,2011
646,The Kid with a Bike,Jean-Pierre Dardenne & Luc Dardenne,2011
942,The Tree of Life,Terrence Malick,2011
708,Like Someone in Love,Abbas Kiarostami,2012
776,Moonrise Kingdom,Wes Anderson,2012
923,Beyond the Hills,Cristian Mungiu,2012
681,Frances Ha,Noah Baumbach,2013
695,Blue Is the Warmest Color,Abdellatif Kechiche,2013
702,The Great Beauty,Paolo Sorrentino,2013
788,Jellyfish Eyes,Takashi Murakami,2013
794,Inside Llewyn Davis,Joel and Ethan Coen,2013
859,Before Midnight,Richard Linklater,2013
762,A Master Builder,Jonathan Demme,2014
771,Two Days@ One Night,Jean-Pierre Dardenne & Luc Dardenne,2014
809,Phoenix,Christian Petzold,2014
822,Clouds of Sils Maria,Olivier Assayas,2014
839,Boyhood,Richard Linklater,2014
1025,The Grand Budapest Hotel,Wes Anderson,2014
828,Ingrid Bergman: In Her Own Words,Stig Björkman,2015
846,Heart of a Dog,Laurie Anderson,2015
861,45 Years,Andrew Haigh,2015
871,Dheepan,Jacques Audiard,2015
896,The Lure,Agnieszka Smoczyńska,2015
853,Cameraperson,Kirsten Johnson,2016
893,Certain Women,Kelly Reichardt,2016
895,David Lynch: The Art Life,Olivia Neergaard-Holm & Rick Barnes & John Nguyen,2016
899,Personal Shopper,Olivier Assayas,2016
906,I@ Daniel Blake,Ken Loach,2016
924,Graduation,Cristian Mungiu,2016
922,The Other Side of Hope,Aki Kaurismäki,2017
956,24 Frames,Abbas Kiarostami,2017
976,Let the Sunshine In,Claire Denis,2017
1005,Cold War,Paweł Pawlikowski,2018
1014,Roma,Alfonso Cuarón,2018
1031,Wildlife,Paul Dano,2018
1034,Portrait of a Lady on Fire,Céline Sciamma,2019
1038,Marriage Story,Noah Baumbach,2019
